Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82689;16/08/2018;0000;;35;;10.3;8.3;27.5;58.25;2.7;
82689;16/08/2018;1200;0;;22.2;;;;;;
82689;17/08/2018;0000;;35;;10.8;7.8;27.84;49.5;4.3;
82689;17/08/2018;1200;0;;20.5;;;;;;
82689;18/08/2018;0000;;34.4;;10.7;9;28.08;49.75;3.133333;
82689;18/08/2018;1200;0;;20.8;;;;;;
82689;19/08/2018;0000;;34.7;;8.8;9.9;28.52;51;3.5;
82689;19/08/2018;1200;0;;22.3;;;;;;
82689;20/08/2018;0000;;34.5;;10.8;8.6;28.06;50.75;3.333333;
82689;20/08/2018;1200;0;;21.2;;;;;;
82689;21/08/2018;0000;;34.9;;10.8;9.7;28.78;53.5;3.633333;
82689;21/08/2018;1200;0;;22.2;;;;;;
82689;22/08/2018;0000;;35.3;;10.7;8.9;28.76;44.5;2.966667;
82689;22/08/2018;1200;0;;20.8;;;;;;
82689;23/08/2018;0000;;35;;10.9;8.9;28.66;52.5;3.066667;
82689;23/08/2018;1200;0;;22.6;;;;;;
82689;24/08/2018;0000;;35.6;;11;8.9;28.74;48.5;3.533333;
82689;24/08/2018;1200;0;;22;;;;;;
82689;25/08/2018;0000;;36.2;;11;8.6;29.66;47.75;3.066667;
82689;25/08/2018;1200;0;;22.1;;;;;;
82689;26/08/2018;0000;;35.6;;11;8.5;29.4;48.5;3.2;
82689;26/08/2018;1200;0;;22.6;;;;;;
82689;27/08/2018;0000;;35.2;;11;8.8;26.88;61.5;2.533333;
82689;27/08/2018;1200;0;;22.2;;;;;;
82689;28/08/2018;0000;;35;;10.6;8.6;28.68;56.75;2.9;
82689;28/08/2018;1200;0;;23.4;;;;;;
82689;29/08/2018;0000;;34.2;;11;8.5;28.38;53.25;3.033333;
82689;29/08/2018;1200;0;;23.1;;;;;;
82689;30/08/2018;0000;;33.6;;11.2;9;27.52;56.75;3.466667;
82689;30/08/2018;1200;0;;22.4;;;;;;
82689;31/08/2018;0000;;34.6;;11.1;8.4;27.26;59.5;2.966667;
82689;31/08/2018;1200;0;;22.1;;;;;;
82689;01/09/2018;0000;;35.7;;10.9;7.6;27.86;68.25;2.366667;
82689;01/09/2018;1200;0;;22.4;;;;;;
82689;02/09/2018;0000;;35.4;;11;9.2;29.14;53.5;4.133333;
82689;02/09/2018;1200;0;;23.3;;;;;;
82689;03/09/2018;0000;;36;;11;9.2;27.04;69.5;1.733333;
82689;03/09/2018;1200;0;;20;;;;;;
82689;04/09/2018;0000;;36.8;;11;7.6;27.76;69;2.05;
82689;04/09/2018;1200;0;;21.1;;;;;;
82689;05/09/2018;0000;;36.4;;10.8;5.7;27.66;66.5;2.233333;
82689;05/09/2018;1200;0;;20.8;;;;;;
82689;06/09/2018;0000;;35;;10.3;6.4;28.4;54.75;5.4;
82689;06/09/2018;1200;0;;22;;;;;;
82689;07/09/2018;0000;;35.2;;10.5;8.4;28.72;54.25;2.833333;
82689;07/09/2018;1200;0;;21.5;;;;;;
82689;08/09/2018;0000;;34.7;;10.8;7.5;28.14;53.5;3.733333;
82689;08/09/2018;1200;0;;23;;;;;;
82689;09/09/2018;0000;;35.2;;11.3;9.1;28.9;51.25;4;
82689;09/09/2018;1200;0;;21.1;;;;;;
82689;10/09/2018;0000;;37;;10.6;9.6;29.84;49;3.733333;
82689;10/09/2018;1200;0;;21.8;;;;;;
82689;11/09/2018;0000;;36;;11.1;9.4;29.2;52.25;2.933333;
82689;11/09/2018;1200;0;;21.8;;;;;;
82689;12/09/2018;0000;;36.4;;11.1;9.3;29.34;48;3.333333;
82689;12/09/2018;1200;0;;22.2;;;;;;
82689;13/09/2018;0000;;35.4;;10.8;9.5;28.96;45.75;3.733333;
82689;13/09/2018;1200;0;;22.4;;;;;;
82689;14/09/2018;0000;;35.6;;11;9.7;30.46;54.75;3.2;
82689;14/09/2018;1200;0;;19.4;;;;;;
82689;15/09/2018;0000;;35.2;;10.9;9;28.8;50.5;3.533333;
82689;15/09/2018;1200;0;;21.9;;;;;;
82689;16/09/2018;0000;;35.6;;11;8.8;29.42;51;3.8;
82689;16/09/2018;1200;0;;22;;;;;;
82689;17/09/2018;0000;;36.2;;10.7;8.2;29.38;47.75;4.033333;
82689;17/09/2018;1200;0;;22.8;;;;;;
82689;18/09/2018;0000;;35.9;;10.9;9.9;29.14;52;3.533333;
82689;18/09/2018;1200;0;;23.3;;;;;;
82689;19/09/2018;0000;;35.5;;10.7;9.7;28.8;49.5;3.233333;
82689;19/09/2018;1200;0;;21.3;;;;;;
82689;20/09/2018;0000;;36;;10.3;9.5;28.96;48.75;4.633333;
82689;20/09/2018;1200;0;;21.6;;;;;;
82689;21/09/2018;0000;;36;;8.9;9.9;28.48;62;3.3;
82689;21/09/2018;1200;0;;21.8;;;;;;
82689;22/09/2018;0000;;36.6;;10.9;8;28.26;60.75;2.1;
82689;22/09/2018;1200;0;;22.1;;;;;;
82689;23/09/2018;0000;;36.4;;11;9.1;28.72;65;2.6;
82689;23/09/2018;1200;0;;22.8;;;;;;
82689;24/09/2018;0000;;36.6;;9.8;8.5;28.44;66.5;3.1;
82689;24/09/2018;1200;0;;21.9;;;;;;
82689;25/09/2018;0000;;36.1;;10.7;9.2;28.44;66;2.466667;
82689;25/09/2018;1200;0;;23.4;;;;;;
82689;26/09/2018;0000;;37;;11;7.7;29.98;48.25;3.7;
82689;26/09/2018;1200;0;;23.1;;;;;;
82689;27/09/2018;0000;;35.8;;10.9;9.9;27.92;65.25;3.166667;
82689;27/09/2018;1200;0;;21.6;;;;;;
82689;28/09/2018;0000;;36.2;;11;9.2;28.14;67.75;2.8;
82689;28/09/2018;1200;0;;23.1;;;;;;
82689;29/09/2018;0000;;37;;11.1;6.4;28.52;65.75;2.066667;
82689;29/09/2018;1200;0;;21.3;;;;;;
82689;30/09/2018;0000;;37.5;;10.6;6.9;30.12;53.25;3.066667;
82689;30/09/2018;1200;0;;23.3;;;;;;
82689;01/10/2018;0000;;36.4;;10.9;8.6;27.96;49;3.233333;
82689;01/10/2018;1200;0;;22.6;;;;;;
82689;02/10/2018;0000;;36.6;;11;9.5;27.92;61.75;2.4;
82689;02/10/2018;1200;0;;21;;;;;;
82689;03/10/2018;0000;;36.4;;11;8;28.34;67.25;2.033333;
82689;03/10/2018;1200;0;;21.9;;;;;;
82689;04/10/2018;0000;;36.6;;11.2;6.2;29.5;66.25;2.366667;
82689;04/10/2018;1200;0;;24.8;;;;;;
82689;05/10/2018;0000;;36.3;;9.2;;29.5;68;2.333333;
82689;05/10/2018;1200;0;;24.7;;;;;;
82689;06/10/2018;0000;;35.4;;6;5.9;28.7;61.5;2.466667;
82689;06/10/2018;1200;0;;25.4;;;;;;
82689;07/10/2018;0000;;36.5;;11;6.5;28.86;55.5;2.733333;
82689;07/10/2018;1200;0;;23.1;;;;;;
82689;08/10/2018;0000;;36.4;;10.5;9.4;29.38;45.75;3.5;
82689;08/10/2018;1200;0;;23.6;;;;;;
82689;09/10/2018;0000;;36.8;;11.1;9.9;28.88;50.5;3.166667;
82689;09/10/2018;1200;0;;22.3;;;;;;
82689;10/10/2018;0000;;36.6;;11;9.5;28.84;51.5;2.7;
82689;10/10/2018;1200;0;;22.6;;;;;;
82689;11/10/2018;0000;;36.4;;11;9.2;28.62;66.25;2.3;
82689;11/10/2018;1200;0;;23.2;;;;;;
82689;12/10/2018;0000;;36.5;;10.4;7.8;29.02;66.75;2.033333;
82689;12/10/2018;1200;0;;24.2;;;;;;
82689;13/10/2018;0000;;37.1;;10.8;;29.9;56.75;2.8;
82689;13/10/2018;1200;0;;23.1;;;;;;
82689;14/10/2018;0000;;37.5;;10.7;7.1;30.52;60.25;3.033333;
82689;14/10/2018;1200;0;;25.2;;;;;;
82689;15/10/2018;0000;;35.1;;4.7;5.7;29.08;68.5;2.266667;
82689;15/10/2018;1200;0;;25;;;;;;
82689;16/10/2018;0000;;34.6;;5.5;4.4;28.52;69.5;1.833333;
82689;16/10/2018;1200;0;;25.6;;;;;;
82689;17/10/2018;0000;;36.4;;8.5;5.4;29.62;57;2.966667;
82689;17/10/2018;1200;0;;23.3;;;;;;
